ID_MARK,Марка,Марка кириллица,Популярная марка,Страна,Год марки от,Год марки до,MODEL_ID,Модель,Модель кириллица,Класс,Год модели от,Год модели до
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_DBX,DBX,ДБХ,S,2020,2025
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_DB_AR_1,DB AR1,ДБ АР1,S,2003,2004
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_LAGONDA,Lagonda,лагонда,S,1976,1997
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_LAGONDA_TARAF,Lagonda Taraf,Лагонда Тараф,S,2015,2016
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_ONE_77,One-77,ван-77,S,2009,2012
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_RAPIDE,Rapide,Рапиде,S,2010,2020
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_TICKFORD_CAPRI,Tickford Capri,тикфорд капри,S,1982,1985
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_V12,Vanquish,ванквиш,S,2001,2025
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_V12_SPEEDSTER,V12 Speedster,В12 Спидстер,S,2020,2025
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_V12_VANTAGE,V12 Vantage,в12 вантаж,S,2009,2025
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_V12_ZAGATO,V12 Zagato,в12 загато,S,2011,2012
